Divisiones de actividad;Total Nacional;Comunidades y Ciudades Autónomas;Valor absoluto/porcentaje;periodo;Total
11 Bebidas;Total Nacional;14 Murcia Región de;valor absoluto;2021-01-01 00:00:00+00:00;429939
11 Bebidas;Total Nacional;14 Murcia Región de;porcentaje;2022-01-01 00:00:00+00:00;2.5
11 Bebidas;Total Nacional;14 Murcia Región de;porcentaje;2021-01-01 00:00:00+00:00;2.5
11 Bebidas;Total Nacional;15 Navarra Comunidad Foral de;valor absoluto;2022-01-01 00:00:00+00:00;411430
11 Bebidas;Total Nacional;15 Navarra Comunidad Foral de;valor absoluto;2021-01-01 00:00:00+00:00;362609
11 Bebidas;Total Nacional;15 Navarra Comunidad Foral de;porcentaje;2022-01-01 00:00:00+00:00;2.2
11 Bebidas;Total Nacional;15 Navarra Comunidad Foral de;porcentaje;2021-01-01 00:00:00+00:00;2.1
11 Bebidas;Total Nacional;16 País Vasco;valor absoluto;2022-01-01 00:00:00+00:00;1511496
11 Bebidas;Total Nacional;16 País Vasco;valor absoluto;2021-01-01 00:00:00+00:00;1404704
11 Bebidas;Total Nacional;16 País Vasco;porcentaje;2022-01-01 00:00:00+00:00;7.9
11 Bebidas;Total Nacional;16 País Vasco;porcentaje;2021-01-01 00:00:00+00:00;8.2
11 Bebidas;Total Nacional;17 Rioja La;valor absoluto;2022-01-01 00:00:00+00:00;744347
11 Bebidas;Total Nacional;17 Rioja La;valor absoluto;2021-01-01 00:00:00+00:00;788953
11 Bebidas;Total Nacional;17 Rioja La;porcentaje;2022-01-01 00:00:00+00:00;3.9
11 Bebidas;Total Nacional;17 Rioja La;porcentaje;2021-01-01 00:00:00+00:00;4.6
11 Bebidas;Total Nacional;18 Ceuta;valor absoluto;2022-01-01 00:00:00+00:00;0
11 Bebidas;Total Nacional;18 Ceuta;valor absoluto;2021-01-01 00:00:00+00:00;0
11 Bebidas;Total Nacional;18 Ceuta;porcentaje;2022-01-01 00:00:00+00:00;0.0
11 Bebidas;Total Nacional;18 Ceuta;porcentaje;2021-01-01 00:00:00+00:00;0.0
11 Bebidas;Total Nacional;19 Melilla;valor absoluto;2022-01-01 00:00:00+00:00;0
11 Bebidas;Total Nacional;19 Melilla;valor absoluto;2021-01-01 00:00:00+00:00;0
11 Bebidas;Total Nacional;19 Melilla;porcentaje;2022-01-01 00:00:00+00:00;0.0
11 Bebidas;Total Nacional;19 Melilla;porcentaje;2021-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;;valor absoluto;2022-01-01 00:00:00+00:00;291977
12 Tabaco;Total Nacional;;valor absoluto;2021-01-01 00:00:00+00:00;286430
12 Tabaco;Total Nacional;;porcentaje;2022-01-01 00:00:00+00:00;100.0
12 Tabaco;Total Nacional;;porcentaje;2021-01-01 00:00:00+00:00;100.0
12 Tabaco;Total Nacional;01 Andalucía;valor absoluto;2022-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;01 Andalucía;valor absoluto;2021-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;01 Andalucía;porcentaje;2022-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;01 Andalucía;porcentaje;2021-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;02 Aragón;valor absoluto;2022-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;02 Aragón;valor absoluto;2021-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;02 Aragón;porcentaje;2022-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;02 Aragón;porcentaje;2021-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;03 Asturias Principado de;valor absoluto;2022-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;03 Asturias Principado de;valor absoluto;2021-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;03 Asturias Principado de;porcentaje;2022-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;03 Asturias Principado de;porcentaje;2021-01-01 00:00:00+00:00;0.0
12 Tabaco;Total Nacional;04 Balears Illes;valor absoluto;2022-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;04 Balears Illes;valor absoluto;2021-01-01 00:00:00+00:00;0
12 Tabaco;Total Nacional;04 Balears Illes;porcentaje;2022-01-01 00:00:00+00:00;0.0
