Divisiones de actividad;Total Nacional;Comunidades y Ciudades Autónomas;Valor absoluto/porcentaje;periodo;Total
12 Tabaco;Total Nacional;12 Galicia;porcentaje;2022;0.0
12 Tabaco;Total Nacional;12 Galicia;porcentaje;2021;0.0
12 Tabaco;Total Nacional;13 Madrid Comunidad de;valor absoluto;2022;0.0
12 Tabaco;Total Nacional;13 Madrid Comunidad de;valor absoluto;2021;0.0
12 Tabaco;Total Nacional;13 Madrid Comunidad de;porcentaje;2022;0.0
12 Tabaco;Total Nacional;13 Madrid Comunidad de;porcentaje;2021;0.0
12 Tabaco;Total Nacional;14 Murcia Región de;valor absoluto;2022;0
12 Tabaco;Total Nacional;14 Murcia Región de;valor absoluto;2021;0
12 Tabaco;Total Nacional;14 Murcia Región de;porcentaje;2022;0.0
12 Tabaco;Total Nacional;14 Murcia Región de;porcentaje;2021;0.0
12 Tabaco;Total Nacional;15 Navarra Comunidad Foral de;valor absoluto;2022;0
12 Tabaco;Total Nacional;15 Navarra Comunidad Foral de;valor absoluto;2021;0
12 Tabaco;Total Nacional;15 Navarra Comunidad Foral de;porcentaje;2022;0.0
12 Tabaco;Total Nacional;15 Navarra Comunidad Foral de;porcentaje;2021;0.0
12 Tabaco;Total Nacional;16 País Vasco;valor absoluto;2022;0
12 Tabaco;Total Nacional;16 País Vasco;valor absoluto;2021;0
12 Tabaco;Total Nacional;16 País Vasco;porcentaje;2022;0.0
12 Tabaco;Total Nacional;16 País Vasco;porcentaje;2021;0.0
12 Tabaco;Total Nacional;17 Rioja La;valor absoluto;2022;0
12 Tabaco;Total Nacional;17 Rioja La;valor absoluto;2021;0
12 Tabaco;Total Nacional;17 Rioja La;porcentaje;2022;0.0
12 Tabaco;Total Nacional;17 Rioja La;porcentaje;2021;0.0
12 Tabaco;Total Nacional;18 Ceuta;valor absoluto;2022;0
12 Tabaco;Total Nacional;18 Ceuta;valor absoluto;2021;0
12 Tabaco;Total Nacional;18 Ceuta;porcentaje;2022;0.0
12 Tabaco;Total Nacional;18 Ceuta;porcentaje;2021;0.0
12 Tabaco;Total Nacional;19 Melilla;valor absoluto;2022;0
12 Tabaco;Total Nacional;19 Melilla;valor absoluto;2021;0
12 Tabaco;Total Nacional;19 Melilla;porcentaje;2022;0.0
12 Tabaco;Total Nacional;19 Melilla;porcentaje;2021;0.0
13 Textil;Total Nacional;;valor absoluto;2022;4821465
13 Textil;Total Nacional;;valor absoluto;2021;4365882
13 Textil;Total Nacional;;porcentaje;2022;100.0
13 Textil;Total Nacional;;porcentaje;2021;100.0
13 Textil;Total Nacional;01 Andalucía;valor absoluto;2022;236502
13 Textil;Total Nacional;01 Andalucía;valor absoluto;2021;205414
13 Textil;Total Nacional;01 Andalucía;porcentaje;2022;4.9
13 Textil;Total Nacional;01 Andalucía;porcentaje;2021;4.7
13 Textil;Total Nacional;02 Aragón;valor absoluto;2022;77427
13 Textil;Total Nacional;02 Aragón;valor absoluto;2021;55502
13 Textil;Total Nacional;02 Aragón;porcentaje;2022;1.6
13 Textil;Total Nacional;02 Aragón;porcentaje;2021;1.3
13 Textil;Total Nacional;03 Asturias Principado de;valor absoluto;2022;0.0
13 Textil;Total Nacional;03 Asturias Principado de;valor absoluto;2021;1312
13 Textil;Total Nacional;03 Asturias Principado de;porcentaje;2022;0.0
13 Textil;Total Nacional;03 Asturias Principado de;porcentaje;2021;0.0
13 Textil;Total Nacional;04 Balears Illes;valor absoluto;2022;17562
13 Textil;Total Nacional;04 Balears Illes;valor absoluto;2021;17649
13 Textil;Total Nacional;04 Balears Illes;porcentaje;2022;0.4
13 Textil;Total Nacional;04 Balears Illes;porcentaje;2021;0.4
13 Textil;Total Nacional;05 Canarias;valor absoluto;2022;0.0
13 Textil;Total Nacional;05 Canarias;valor absoluto;2021;11747
13 Textil;Total Nacional;05 Canarias;porcentaje;2022;0.0
13 Textil;Total Nacional;05 Canarias;porcentaje;2021;0.3
13 Textil;Total Nacional;06 Cantabria;valor absoluto;2022;97417
13 Textil;Total Nacional;06 Cantabria;valor absoluto;2021;87786
13 Textil;Total Nacional;06 Cantabria;porcentaje;2022;2.0
13 Textil;Total Nacional;06 Cantabria;porcentaje;2021;2.0
13 Textil;Total Nacional;07 Castilla y León;valor absoluto;2022;80611
13 Textil;Total Nacional;07 Castilla y León;valor absoluto;2021;75091
13 Textil;Total Nacional;07 Castilla y León;porcentaje;2022;1.7
13 Textil;Total Nacional;07 Castilla y León;porcentaje;2021;1.7
13 Textil;Total Nacional;08 Castilla - La Mancha;valor absoluto;2022;112818
13 Textil;Total Nacional;08 Castilla - La Mancha;valor absoluto;2021;91955
13 Textil;Total Nacional;08 Castilla - La Mancha;porcentaje;2022;2.3
13 Textil;Total Nacional;08 Castilla - La Mancha;porcentaje;2021;2.1
13 Textil;Total Nacional;09 Cataluña;valor absoluto;2022;2121898
13 Textil;Total Nacional;09 Cataluña;valor absoluto;2021;1865176
13 Textil;Total Nacional;09 Cataluña;porcentaje;2022;44.0
13 Textil;Total Nacional;09 Cataluña;porcentaje;2021;42.7
13 Textil;Total Nacional;10 Comunitat Valenciana;valor absoluto;2022;1564835
13 Textil;Total Nacional;10 Comunitat Valenciana;valor absoluto;2021;1511869
13 Textil;Total Nacional;10 Comunitat Valenciana;porcentaje;2022;32.5
13 Textil;Total Nacional;10 Comunitat Valenciana;porcentaje;2021;34.6
13 Textil;Total Nacional;11 Extremadura;valor absoluto;2022;2837
13 Textil;Total Nacional;11 Extremadura;valor absoluto;2021;4397
13 Textil;Total Nacional;11 Extremadura;porcentaje;2022;0.1
13 Textil;Total Nacional;11 Extremadura;porcentaje;2021;0.1
13 Textil;Total Nacional;12 Galicia;valor absoluto;2022;102496
13 Textil;Total Nacional;12 Galicia;valor absoluto;2021;90457
13 Textil;Total Nacional;12 Galicia;porcentaje;2022;2.1
13 Textil;Total Nacional;12 Galicia;porcentaje;2021;2.1
13 Textil;Total Nacional;13 Madrid Comunidad de;valor absoluto;2022;145750
13 Textil;Total Nacional;13 Madrid Comunidad de;valor absoluto;2021;158048
13 Textil;Total Nacional;13 Madrid Comunidad de;porcentaje;2022;3.0
13 Textil;Total Nacional;13 Madrid Comunidad de;porcentaje;2021;3.6
13 Textil;Total Nacional;14 Murcia Región de;valor absoluto;2022;67124
13 Textil;Total Nacional;14 Murcia Región de;valor absoluto;2021;38356
13 Textil;Total Nacional;14 Murcia Región de;porcentaje;2022;1.4
13 Textil;Total Nacional;14 Murcia Región de;porcentaje;2021;0.9
13 Textil;Total Nacional;15 Navarra Comunidad Foral de;valor absoluto;2022;53279
13 Textil;Total Nacional;15 Navarra Comunidad Foral de;valor absoluto;2021;42688
13 Textil;Total Nacional;15 Navarra Comunidad Foral de;porcentaje;2022;1.1
13 Textil;Total Nacional;15 Navarra Comunidad Foral de;porcentaje;2021;1.0
13 Textil;Total Nacional;16 País Vasco;valor absoluto;2022;29251
13 Textil;Total Nacional;16 País Vasco;valor absoluto;2021;29597
13 Textil;Total Nacional;16 País Vasco;porcentaje;2022;0.6
13 Textil;Total Nacional;16 País Vasco;porcentaje;2021;0.7
13 Textil;Total Nacional;17 Rioja La;valor absoluto;2022;83658
13 Textil;Total Nacional;17 Rioja La;valor absoluto;2021;78839
13 Textil;Total Nacional;17 Rioja La;porcentaje;2022;1.7
13 Textil;Total Nacional;17 Rioja La;porcentaje;2021;1.8
13 Textil;Total Nacional;18 Ceuta;valor absoluto;2022;0
13 Textil;Total Nacional;18 Ceuta;valor absoluto;2021;0
13 Textil;Total Nacional;18 Ceuta;porcentaje;2022;0.0
13 Textil;Total Nacional;18 Ceuta;porcentaje;2021;0.0
13 Textil;Total Nacional;19 Melilla;valor absoluto;2022;0
13 Textil;Total Nacional;19 Melilla;valor absoluto;2021;0
13 Textil;Total Nacional;19 Melilla;porcentaje;2022;0.0
13 Textil;Total Nacional;19 Melilla;porcentaje;2021;0.0
14 Confección de prendas de vestir;Total Nacional;;valor absoluto;2022;3610056
14 Confección de prendas de vestir;Total Nacional;;valor absoluto;2021;3073316
14 Confección de prendas de vestir;Total Nacional;;porcentaje;2022;100.0
14 Confección de prendas de vestir;Total Nacional;;porcentaje;2021;100.0
14 Confección de prendas de vestir;Total Nacional;01 Andalucía;valor absoluto;2022;200535
14 Confección de prendas de vestir;Total Nacional;01 Andalucía;valor absoluto;2021;167449
14 Confección de prendas de vestir;Total Nacional;01 Andalucía;porcentaje;2022;5.6
14 Confección de prendas de vestir;Total Nacional;01 Andalucía;porcentaje;2021;5.4
14 Confección de prendas de vestir;Total Nacional;02 Aragón;valor absoluto;2022;66238
