iter	Passed	Remaining
702	64869	27405
703	64968	27316
704	65063	27225
705	65159	27134
706	65254	27043
707	65351	26952
708	65447	26861
709	65542	26770
710	65636	26679
711	65733	26588
712	65829	26498
713	65923	26406
714	66018	26314
715	66114	26224
716	66209	26133
717	66306	26042
718	66403	25952
719	66499	25860
720	66597	25770
721	66690	25678
722	66790	25589
723	66888	25499
724	66988	25409
725	67084	25318
726	67177	25226
727	67275	25136
728	67373	25045
729	67472	24955
730	67570	24865
731	67665	24773
732	67760	24682
733	67858	24591
734	67954	24500
735	68054	24410
736	68154	24321
737	68257	24232
738	68356	24142
739	68456	24052
740	68551	23960
741	68651	23870
742	68750	23780
743	68852	23691
744	68946	23599
745	69047	23509
746	69141	23417
747	69238	23326
748	69335	23235
749	69432	23144
750	69530	23053
751	69629	22962
752	69727	22872
753	69821	22779
754	69915	22687
755	70013	22596
756	70107	22504
757	70206	22414
758	70303	22322
759	70403	22232
760	70498	22140
761	70602	22051
762	70701	21961
763	70799	21869
764	70899	21779
765	70996	21688
766	71092	21596
767	71190	21505
768	71286	21413
769	71383	21322
770	71475	21229
771	71573	21138
772	71673	21047
773	71769	20955
774	71866	20864
775	71962	20772
776	72060	20681
777	72154	20589
778	72249	20496
779	72346	20405
780	72444	20314
781	72541	20222
782	72638	20130
783	72734	20039
784	72831	19947
785	72930	19856
786	73028	19764
787	73123	19672
788	73217	19580
789	73315	19488
790	73410	19396
791	73510	19305
792	73608	19214
793	73704	19122
794	73800	19030
795	73895	18938
796	73989	18845
797	74081	18752
798	74176	18660
799	74272	18568
800	74374	18477
801	74470	18385
802	74565	18293
803	74659	18200
804	74756	18108
805	74855	18017
806	74951	17925
807	75048	17833
808	75148	17742
809	75244	17649
810	75340	17557
811	75434	17465
812	75534	17373
813	75631	17281
814	75728	17189
815	75828	17098
816	75925	17006
817	76024	16914
818	76121	16822
819	76219	16731
820	76316	16638
821	76413	16546
822	76508	16454
823	76609	16363
824	76704	16270
825	76800	16178
826	76894	16085
827	76991	15993
828	77087	15901
829	77183	15808
830	77278	15716
831	77377	15624
832	77472	15531
833	77570	15439
834	77667	15347
835	77761	15254
836	77855	15161
837	77952	15069
838	78044	14976
839	78139	14883
840	78236	14791
841	78330	14698
842	78426	14606
843	78521	14513
844	78618	14421
845	78718	14329
846	78816	14237
847	78911	14144
848	79008	14052
849	79105	13959
850	79199	13866
851	79298	13774
852	79395	13682
853	79489	13589
854	79585	13496
855	79682	13404
856	79779	13312
857	79876	13219
858	79977	13127
859	80075	13035
860	80172	12943
861	80270	12850
862	80369	12758
863	80469	12666
864	80566	12573
865	80663	12481
866	80762	12389
867	80858	12296
868	80955	12203
869	81052	12111
870	81148	12018
871	81244	11925
872	81340	11832
873	81435	11740
874	81530	11647
875	81628	11554
876	81723	11461
877	81819	11369
878	81915	11276
879	82009	11183
880	82107	11090
881	82203	10997
882	82299	10904
883	82395	10812
884	82491	10719
885	82586	10626
886	82685	10533
887	82783	10441
888	82879	10348
889	82977	10255
890	83077	10163
891	83173	10070
892	83272	9977
893	83369	9884
894	83466	9792
895	83563	9699
896	83663	9606
897	83760	9514
898	83862	9421
899	83959	9328
900	84060	9236
901	84156	9143
902	84253	9050
903	84350	8957
904	84448	8864
905	84548	8772
906	84651	8679
907	84752	8587
908	84848	8494
909	84946	8401
910	85045	8308
911	85141	8215
912	85242	8122
913	85336	8029
914	85432	7936
915	85529	7843
916	85626	7750
917	85723	7657
918	85818	7563
919	85916	7470
920	86013	7377
921	86111	7284
922	86209	7191
923	86306	7098
